question,table_context_str,cypher_query,cypher_response,response
What is the value of alogP for Paracetamol (Acetaminophen)?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""paracetamol""\nRETURN drug.`compound_details`.`alogP`;']","drug.compound_details.alogP : []
",The value of alogP for Paracetamol (Acetaminophen) is not available in the database.
What is the alogP value for Aspirin?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[edge_name:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""aspirin""\nRETURN drug.`compound_details`.`alogp`;']","drug.compound_details.alogp : ['1.31']
",The alogP value for Aspirin is 1.31.
Has Aspirin received a black box warning from the FDA?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[edge_name:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""aspirin"" AND drug.`compound_details`.`fda_warning` == ""black box""\nRETURN drug']","drug : []
","As of the current data, there are no records indicating that Aspirin has received a black box warning from the FDA."
How many aromatic rings are present in the Aspirin molecule?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""aspirin""\nRETURN drug.full_molecular_formula;']","drug.full_molecular_formula : [__NULL__]
",The query did not return any information about the number of aromatic rings present in the Aspirin molecule. It is possible that the specific information about the aromatic rings in Aspirin is not available in the database queried.
How many aromatic rings are present in the structure of Aspirin?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.
",[],,The query results did not provide information on the number of aromatic rings present in the structure of Aspirin.
What is the molecular type of Paracetamol (Acetaminophen)?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[edge_name:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""paracetamol""\nRETURN drug.`compound_details`.`molecule_type`;']","drug.compound_details.molecule_type : []
",The query did not return any specific information about the molecular type of Paracetamol (Acetaminophen). It is possible that the database does not have this information available or that the query was not structured correctly to retrieve it. Additional research or a different query may be needed to find the molecular type of Paracetamol.
What is the chirality of Paracetamol (Acetaminophen)?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[edge_name:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""paracetamol""\nRETURN drug.`compound_details`.`chirality`;']","drug.compound_details.chirality : []
",The chirality of Paracetamol (Acetaminophen) is not specified in the query results.
What is the alogp value for Paracetamol (Acetaminophen)?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[edge_name:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""paracetamol""\nRETURN drug.`compound_details`.`alogp`;']","drug.compound_details.alogp : []
",The ALOGP value for Paracetamol (Acetaminophen) is not available in the database.
How many aromatic rings are present in the structure of Paracetamol (Acetaminophen)?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.
",[],,"The Cypher query did not specifically retrieve information about the number of aromatic rings present in the structure of Paracetamol (Acetaminophen). However, the query did return the molecule name and canonical SMILES notation for Paracetamol. To determine the number of aromatic rings in the structure, further analysis of the SMILES notation or a more specific query targeting the aromatic ring structure would be needed."
What is the value of alogP for Paracetamol (Acetaminophen)?,"schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['drug']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}, {'tag': 'molecule_synonym', 'properties': []], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'synonym_of', 'properties': []}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(synonym:molecule_synonym)-[synonym_edge:synonym_of]->(drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['synonym']
summary: All values are text and in lower case.


schema: Node Properties: [{'tag': 'compound_details', 'properties': ['molecule_name', 'molecule_type', 'first_approval', 'max_phase', 'full_weight', 'full_molecular_formula', 'standard_inchi', 'standard_inchi_key', 'canonical_smiles']}, {'tag': 'molecule_name', 'properties': []}], Edge Properties: [{'tag': 'has_parent', 'properties': []}, {'tag': 'similar_to', 'properties': ['similarity']}], Relationships: ['(input: molecule_name)-[edge_name:has_parent]->(drug:compound_details)', '(drug:compound_details)-[similarity_edge:similar_to]->(similar_drug:compound_details)'], Where Conditions: ['id(input) == ""drug name""'], Return Elements: ['similar_drug', 'similarity_edge']
summary: All values are text and in lower case.
","['MATCH (input:`molecule_name`)-[:has_parent]->(drug:`compound_details`)\nWHERE id(input) == ""paracetamol""\nRETURN drug.`compound_details`.`alogP`;']","drug.compound_details.alogP : []
",The value of alogP for Paracetamol (Acetaminophen) is not available in the database.
